ID,Label,Signal Std Dev,Signal Variance,RMS Energy (Mean),Energy Variability (RMS Var),dB Level,Zero-Crossing Rate,Spectral Centroid (Hz),Spectral Flux (Mean),MFCC 1-13 (Overall Mean),MFCC 1-13 (Overall Std),Pause Variability (sec),Speech Rate (Onsets/Total sec),Articulation Rate (Onsets/Active sec),F0 Mean (Hz),F0 Variability (Pitch Std Hz),Jitter (Approx %),Shimmer (Approx %)
voice01,male,0.07649327,0.00585122,0.05336851,0.002991964,-25.4543,0.13754161,1434.31725,30.68258192,-27.57978468,32.41341533,0.379098721,5.716463415,8.522727273,128.9219909,22.34481373,3.86146674,23.15886
voice02,male,0.075043218,0.005631485,0.06019559,0.001999603,-24.408705,0.104567761,1185.980574,33.86404116,-27.43296674,28.95741355,0.256940421,6.385019234,7.980542065,278.9842313,224.1038525,5.889327665,18.344398
voice03,male,0.087232717,0.007609547,0.061534826,0.003808146,-24.217579,0.104700817,1462.785538,34.2223805,-24.81967426,28.8010036,0.27889611,5.578324226,7.792620865,151.5983428,60.2059599,4.422581789,22.656645
voice04,male,0.075001675,0.005625251,0.04904938,0.003211486,-26.187328,0.168324893,1963.61538,27.86574129,-27.88369392,32.24503092,0.417491518,4.35483871,7.55033557,146.9604536,94.76517513,4.856964469,23.737898
voice05,male,0.061535653,0.003786637,0.047302995,0.001541422,-26.502228,0.248323982,2397.727474,26.05658309,-29.71315353,34.38687468,0.135663898,4.963235294,6.591796875,673.9214426,111.1950721,7.883360806,18.904724
voice06,female,0.100493807,0.010099005,0.08314501,0.003167386,-21.603277,0.228059095,2177.783996,46.32231882,-26.56670813,31.93174052,0.064565549,5.721830986,6.286266925,520.6047045,274.8080732,5.964316342,21.621943
voice07,female,0.076335115,0.00582705,0.062556624,0.001902808,-24.074533,0.224042107,2160.02965,35.36255574,-25.93342305,35.24971439,0.121174415,5.237108656,6.012156448,283.7308308,235.6020786,5.755788557,21.628786
voice08,female,0.107206048,0.011493137,0.091005206,0.003184556,-20.818674,0.206589472,2140.492168,51.61706962,-25.18518589,35.27697294,0.086813824,7.03125,7.695895522,316.0295675,196.6898598,7.733947765,21.256224
voice09,female,0.109410795,0.011970722,0.09778395,0.002389475,-20.194647,0.167427332,1775.061018,54.24237104,-25.07188799,31.0943706,0.052255781,8.046208224,8.15418397,228.3208671,41.61098109,2.851421589,17.532642
voice10,female,0.08544405,0.007300686,0.07107061,0.002239383,-22.966198,0.190653262,1944.845081,38.5302279,-25.8739822,32.44197723,0.100454882,5.272108844,6.007751938,234.5520433,63.77392824,4.504578305,16.645369
voice11,male,0.081108912,0.006578656,0.06749903,0.002007159,-23.41405,0.079047057,1083.117839,31.68033136,-20.43508176,27.76232177,0.187502889,7.065850816,7.832687339,126.3123664,16.04442814,2.9647907,15.547438
